step,type,member,value
0,token,Investor_0,1000
0,token,Investor_1,1000
0,token,Investor_2,1000
0,token,Investor_3,1000
0,token,Investor_4,1000
0,token,Developer_0,100
0,token,Delegator_0,100
0,token,Delegator_1,100
0,token,Delegator_2,100
0,token,Delegator_3,100
0,token,Delegator_4,100
0,token,ProposalCreator_0,100
0,token,ProposalCreator_1,100
0,token,ProposalCreator_2,100
0,token,ProposalCreator_3,100
0,token,ProposalCreator_4,100
0,token,Validator_0,100
0,token,Validator_1,100
0,token,Validator_2,100
0,token,Validator_3,100
0,token,Validator_4,100
0,token,ServiceProvider_0,100
0,token,ServiceProvider_1,100
0,token,ServiceProvider_2,100
0,token,ServiceProvider_3,100
0,token,ServiceProvider_4,100
0,token,Arbitrator_0,100
0,token,Arbitrator_1,100
0,token,Regulator_0,100
0,token,Regulator_1,100
0,token,ExternalPartner_0,100
0,token,ExternalPartner_1,100
0,token,PassiveMember_0,100
0,token,PassiveMember_1,100
0,token,PassiveMember_2,100
0,token,PassiveMember_3,100
0,token,PassiveMember_4,100
0,token,PassiveMember_5,100
0,token,PassiveMember_6,100
0,token,PassiveMember_7,100
0,token,PassiveMember_8,100
0,token,PassiveMember_9,100
0,influence,Developer_0,0.0
0,influence,Investor_0,0.0
0,influence,Investor_1,0.0
0,influence,Investor_2,0.0
0,influence,Investor_3,0.0
0,influence,Investor_4,0.0
0,influence,Delegator_0,0.0
0,influence,Delegator_1,0.0
0,influence,Delegator_2,0.0
0,influence,Delegator_3,0.0
0,influence,Delegator_4,0.0
0,influence,ProposalCreator_0,0.0
0,influence,ProposalCreator_1,0.0
0,influence,ProposalCreator_2,0.0
0,influence,ProposalCreator_3,0.0
0,influence,ProposalCreator_4,0.0
0,influence,Validator_0,0.0
0,influence,Validator_1,0.0
0,influence,Validator_2,0.0
0,influence,Validator_3,0.0
0,influence,Validator_4,0.0
0,influence,ServiceProvider_0,0.0
0,influence,ServiceProvider_1,0.0
0,influence,ServiceProvider_2,0.0
0,influence,ServiceProvider_3,0.0
0,influence,ServiceProvider_4,0.0
0,influence,Arbitrator_0,0.0
0,influence,Arbitrator_1,0.0
0,influence,Regulator_0,0.0
0,influence,Regulator_1,0.0
0,influence,ExternalPartner_0,0.0
0,influence,ExternalPartner_1,0.0
0,influence,PassiveMember_0,0.0
0,influence,PassiveMember_1,0.0
0,influence,PassiveMember_2,0.0
0,influence,PassiveMember_3,0.0
0,influence,PassiveMember_4,0.0
0,influence,PassiveMember_5,0.0
0,influence,PassiveMember_6,0.0
0,influence,PassiveMember_7,0.0
0,influence,PassiveMember_8,0.0
0,influence,PassiveMember_9,0.0
